"Date","Price","Open","High","Low","Vol.","Change %"
"11-11-2025","25,811.40","25,731.00","25,835.00","25,555.00","6.57M","0.45%"
"10-11-2025","25,694.50","25,690.00","25,747.00","25,617.80","3.67M","0.41%"
"07-11-2025","25,589.20","25,545.00","25,656.40","25,428.10","6.91M","-0.15%"
"06-11-2025","25,627.20","25,740.10","25,805.00","25,605.00","4.52M","-0.32%"
"04-11-2025","25,708.30","25,874.70","25,911.00","25,693.00","5.72M","-0.74%"
"03-11-2025","25,898.90","25,890.00","25,942.60","25,800.00","4.87M","-0.03%"
"31-10-2025","25,905.50","26,012.10","26,116.10","25,890.00","6.60M","-0.48%"
"30-10-2025","26,031.60","26,199.90","26,199.90","26,010.00","6.31M","-0.79%"
"29-10-2025","26,238.70","26,125.00","26,284.90","26,101.00","6.12M","1.17%"
"28-10-2025","25,936.20","26,009.70","26,074.90","25,820.00","7.17M","-0.30%"
"27-10-2025","26,013.50","25,901.00","26,065.40","25,878.00","7.65M","0.77%"
"24-10-2025","25,814.80","25,980.20","25,999.00","25,733.00","6.87M","-0.62%"
"23-10-2025","25,976.90","26,161.10","26,205.00","25,940.00","8.38M","0.27%"
"21-10-2025","25,906.30","25,960.00","25,975.00","25,865.10","1.23M","-0.03%"
"20-10-2025","25,915.10","25,880.20","25,969.50","25,833.00","5.49M","0.61%"
"17-10-2025","25,757.80","25,621.80","25,849.00","25,592.00","7.69M","0.40%"
"16-10-2025","25,656.10","25,462.00","25,699.40","25,460.00","6.27M","0.91%"
"15-10-2025","25,424.80","25,261.00","25,460.00","25,250.00","5.78M","0.87%"
"14-10-2025","25,206.00","25,378.10","25,378.10","25,123.20","6.86M","-0.41%"
"13-10-2025","25,309.30","25,340.00","25,345.10","25,230.30","5.40M","-0.40%"
"10-10-2025","25,411.00","25,250.00","25,464.30","25,250.00","4.42M","0.54%"
"09-10-2025","25,273.80","25,150.00","25,291.00","25,124.00","5.05M","0.61%"
"08-10-2025","25,120.40","25,206.90","25,289.80","25,085.00","5.53M","-0.42%"
"07-10-2025","25,225.30","25,198.00","25,318.00","25,180.00","4.84M","0.16%"
"06-10-2025","25,185.40","24,990.00","25,199.10","24,973.20","5.52M","0.72%"
"03-10-2025","25,006.60","24,950.40","25,020.00","24,878.60","4.57M","0.16%"
"01-10-2025","24,967.20","24,751.80","24,986.50","24,725.00","5.74M","1.45%"
"30-09-2025","24,611.10","24,714.90","24,749.00","24,580.00","4.84M","-0.30%"
"29-09-2025","24,685.00","24,755.00","24,844.20","24,646.20","7.13M","-0.02%"
"26-09-2025","24,689.90","24,929.90","24,929.90","24,663.10","7.27M","-1.11%"
"25-09-2025","24,967.70","25,100.00","25,133.00","24,954.10","5.79M","-0.57%"
"24-09-2025","25,111.90","25,206.50","25,206.50","25,078.00","4.84M","-0.57%"
"23-09-2025","25,255.80","25,277.70","25,333.20","25,158.00","4.72M","-0.09%"
"22-09-2025","25,277.70","25,350.00","25,394.50","25,248.60","3.84M","-0.53%"
"19-09-2025","25,411.20","25,474.00","25,489.80","25,352.00","4.72M","-0.39%"
"18-09-2025","25,510.90","25,480.20","25,525.00","25,435.10","4.05M","0.34%"
"17-09-2025","25,423.40","25,365.00","25,446.70","25,362.80","3.34M","0.36%"
"16-09-2025","25,331.40","25,178.70","25,354.00","25,152.00","4.51M","0.66%"
"15-09-2025","25,164.70","25,200.60","25,204.00","25,147.30","2.57M","-0.16%"
"12-09-2025","25,205.00","25,126.30","25,222.80","25,126.30","3.12M","0.40%"
"11-09-2025","25,104.50","25,049.00","25,119.50","25,048.10","2.14M","0.13%"
"10-09-2025","25,072.30","25,021.60","25,125.00","25,001.10","4.96M","0.49%"
"09-09-2025","24,950.30","24,931.20","24,969.00","24,910.00","2.78M","0.23%"
"08-09-2025","24,892.70","24,888.50","24,979.00","24,862.20","4.47M","0.18%"
"05-09-2025","24,847.70","24,855.30","24,927.00","24,720.40","5.54M","0.08%"
"04-09-2025","24,827.50","24,926.30","25,048.50","24,809.70","6.22M","0.06%"
"03-09-2025","24,813.10","24,680.00","24,837.00","24,638.50","4.24M","0.49%"
"02-09-2025","24,691.80","24,750.00","24,874.70","24,651.90","5.62M","-0.23%"
"01-09-2025","24,748.00","24,581.10","24,760.00","24,581.00","3.91M","0.73%"
"29-08-2025","24,568.50","24,650.00","24,710.00","24,546.00","5.15M","0.28%"
"28-08-2025","24,500.90","24,689.80","24,709.60","24,478.00","7.03M","-0.93%"
"26-08-2025","24,731.50","24,903.00","24,940.00","24,710.00","8.24M","-1.03%"
